loss,accuracy,group,training_group
0.0790247768163681,0.98,0,0
0.10129699856042862,0.96,0,1
0.2978426218032837,0.88,1,1
0.26180604100227356,0.92,0,2
0.6566827297210693,0.72,1,2
0.16361020505428314,0.94,2,2
0.8087857961654663,0.64,0,3
1.0395069122314453,0.68,1,3
0.5693455338478088,0.8,2,3
0.16335344314575195,0.96,3,3
1.0329266786575317,0.68,0,4
2.2412688732147217,0.44,1,4
2.2886061668395996,0.4,2,4
1.164790391921997,0.66,3,4
0.33314865827560425,0.92,4,4
0.6413787603378296,0.72,0,5
1.3025723695755005,0.6,1,5
1.9756231307983398,0.36,2,5
2.0126662254333496,0.46,3,5
1.8219281435012817,0.52,4,5
0.2816164791584015,0.92,5,5
0.610785722732544,0.76,0,6
1.2346669435501099,0.6,1,6
1.8670742511749268,0.32,2,6
2.4505205154418945,0.26,3,6
2.818258285522461,0.22,4,6
1.0569103956222534,0.76,5,6
0.3933480978012085,0.88,6,6
1.0135706663131714,0.58,0,7
1.4666098356246948,0.42,1,7
2.2206549644470215,0.2,2,7
2.3602750301361084,0.36,3,7
3.3881654739379883,0.28,4,7
2.585320234298706,0.3,5,7
2.440882444381714,0.28,6,7
0.4978909194469452,0.82,7,7
1.6194359064102173,0.36,0,8
1.9117289781570435,0.44,1,8
3.0243163108825684,0.22,2,8
3.3892831802368164,0.0,3,8
3.808194875717163,0.22,4,8
2.4688456058502197,0.34,5,8
3.809826612472534,0.04,6,8
1.7034143209457397,0.44,7,8
0.37049952149391174,0.88,8,8
1.4612268209457397,0.38,0,9
1.5859572887420654,0.46,1,9
2.2042574882507324,0.3,2,9
1.892625093460083,0.4,3,9
2.4623889923095703,0.36,4,9
1.857518196105957,0.52,5,9
3.713395357131958,0.18,6,9
2.5402045249938965,0.3,7,9
1.5464438199996948,0.66,8,9
0.4240453243255615,0.86,9,9
