loss,accuracy,group,training_group
0.10107710212469101,0.96,0,0
0.7652192115783691,0.78,0,1
0.14340579509735107,0.96,1,1
2.591606378555298,0.26,0,2
1.0824158191680908,0.68,1,2
0.11737635731697083,0.96,2,2
2.2470693588256836,0.22,0,3
1.825217604637146,0.44,1,3
0.9268885850906372,0.8,2,3
0.05428186058998108,0.98,3,3
0.7466731071472168,0.78,0,4
0.14943155646324158,0.92,1,4
1.929498314857483,0.42,2,4
4.524603366851807,0.06,3,4
0.26409924030303955,0.92,4,4
1.3558835983276367,0.76,0,5
0.8085288405418396,0.78,1,5
3.4277122020721436,0.28,2,5
6.825995922088623,0.04,3,5
5.103657245635986,0.26,4,5
0.13265345990657806,0.94,5,5
1.0539926290512085,0.66,0,6
1.6995567083358765,0.5,1,6
3.7023632526397705,0.16,2,6
6.674131393432617,0.0,3,6
6.587924003601074,0.16,4,6
2.3165812492370605,0.34,5,6
0.3532183766365051,0.92,6,6
2.2949798107147217,0.24,0,7
2.984686851501465,0.18,1,7
3.622959613800049,0.06,2,7
5.710881233215332,0.12,3,7
4.578702926635742,0.02,4,7
3.920786142349243,0.2,5,7
0.9634380340576172,0.72,6,7
0.243608295917511,0.9,7,7
2.0625438690185547,0.36,0,8
3.013345956802368,0.16,1,8
2.567016363143921,0.42,2,8
3.5299832820892334,0.08,3,8
3.828854560852051,0.14,4,8
1.7745281457901,0.36,5,8
2.753425359725952,0.5,6,8
2.0724692344665527,0.42,7,8
0.34588027000427246,0.9,8,8
1.9518165588378906,0.44,0,9
4.176812648773193,0.26,1,9
2.9886226654052734,0.14,2,9
2.8952720165252686,0.28,3,9
3.4611666202545166,0.18,4,9
1.7143760919570923,0.5,5,9
4.667410373687744,0.02,6,9
6.24874210357666,0.0,7,9
5.4608540534973145,0.2,8,9
0.18457789719104767,0.96,9,9
